,bodyPart,equipment,gifUrl,id,name,target
181,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/1495.gif,1495,oblique crunch v. 2,abs
182,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0635.gif,0635,oblique crunches floor,abs
183,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/1355.gif,1355,one arm against wall,lats
184,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0638.gif,0638,one arm chin-up,lats
185,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0639.gif,0639,one arm dip,triceps
186,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/1773.gif,1773,one arm towel row,upper back
187,lower legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1386.gif,1386,one leg donkey calf raise,calves
188,lower legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1387.gif,1387,one leg floor calf raise,calves
189,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1476.gif,1476,one leg squat,glutes
190,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0642.gif,0642,outside leg kick push-up,glutes
191,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0643.gif,0643,overhead triceps stretch,triceps
192,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3147.gif,3147,pelvic tilt,abs
193,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1422.gif,1422,pelvic tilt into bridge,glutes
194,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3662.gif,3662,pike-to-cobra push-up,glutes
195,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/1306.gif,1306,plyo push up,pectorals
196,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/1687.gif,1687,posterior step to overhead reach,abs
197,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3119.gif,3119,potty squat,abs
198,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3132.gif,3132,potty squat with support,glutes
199,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3665.gif,3665,power point plank,abs
200,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3203.gif,3203,prisoner half sit-up (male),abs
201,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0651.gif,0651,pull up (neutral grip),lats
202,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0652.gif,0652,pull-up,lats
203,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/1689.gif,1689,push and pull bodyweight,pectorals
204,cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3638.gif,3638,push to run,cardiovascular system
205,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0662.gif,0662,push-up,pectorals
206,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0659.gif,0659,push-up (wall),pectorals
207,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0658.gif,0658,push-up (wall) v. 2,pectorals
208,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0661.gif,0661,push-up inside leg kick,glutes
209,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/1467.gif,1467,push-up on lower arms,triceps
210,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/3145.gif,3145,push-up plus,pectorals
211,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0664.gif,0664,push-up to side plank,abs
